"org_id","firm","firm_type","segment","bucket","tier","city","state","website","aum_or_fund_size","check_size","ebitda_range","vertical_fit","internal_corpdev","buyside_signal","signal_date","contact_count","contact_ids","confidence","source_url","notes"
"ORG-001","414 Capital","Investment bank","REFERRAL_BANKING","REFERRAL","A","Dallas","TX","","","","","N/A","N/A","ACG DFW board","2026","1","REF-004","High","https://www.acg.org/dfw",""
"ORG-002","Align Collaborate","Independent-sponsor equity capital","CAPITAL_EQUITY","REFERRAL","A","Dallas","TX","aligncollaborate.com","Fund I $233M (Mar 2025); Collaborate II $375M; ACP IV $770M (Jun 2026)","$5-30M equity per transaction","$2-15M","Building/facilities services (City Wide heritage via NCK Capital)","Equity-only; no sourcing arm — backs sponsors who source themselves","Collaborate II $375M and ACP IV $770M closed","2026-06","2","CAP-001; CAP-002","High","https://www.businesswire.com/news/home/20250327278344/en/","Former independent sponsors themselves (NCK Capital). Single most valuable referral node on the board — they meet under-resourced sponsors daily."
"ORG-003","Bell Nunnally","M&A law firm / association leadership","REFERRAL_LEGAL","REFERRAL","A","Dallas","TX","bellnunnally.com","","","","N/A — network node","N/A","Leads ACG DFW (780+ members)","2026","1","REF-001","High","https://www.acg.org/dfw","Highest-leverage single relationship in the referral layer."
"ORG-004","Bright Equities","Single family office","FAMILY_OFFICE","CLIENT","A","Lewisville","TX","brightequities.com","","$1-10M equity","","MEDIUM — direct equity in operating companies, organic + acquisition growth","NO dedicated BD","Direct equity in operating companies","2025","2","FO-002; FO-003","Medium","https://brightequities.com/","Flagged low confidence in research pass 2 — verify they actually deploy into acquisitions."
"ORG-005","Bulkley Capital","LMM investment bank","REFERRAL_BANKING","REFERRAL","A","Dallas","TX","","","","","N/A","N/A","ACG DFW board","2026","1","REF-003","High","https://www.acg.org/dfw","BUY-SIDE ONLY positioning is essential in this conversation."
"ORG-006","Capital Southwest (NASDAQ: CSWC)","Internally-managed BDC / 2 SBIC licenses","CAPITAL_DEBT","REFERRAL","A","Dallas","TX","capitalsouthwest.com","SBIC I $217.5M (2021); SBIC II (2025); ~$350M aggregate debenture capacity","First-lien senior secured up to $75M","$3-12M sweet spot","MEDIUM — financed Surge PE's ~$50M White Plains Linen (commercial services); no explicit HVAC statement","Full origination team — NOT a client","~92% sponsor-backed book; SBIC II license 2025","2025","2","CAP-004; CAP-005","High","https://www.capitalsouthwest.com/","Published email and phone. Treat as customer/referral source, never competitor."
"ORG-007","Columbia Home Services","Operator-acquirer, PE-backed","OPERATOR_ACQUIRER","CLIENT","A","Dallas","TX","","~$170M+ revenue; ~21 partner companies across 6 states","","","DIRECT — HVAC / plumbing / electrical","PE-backed (Tenex Capital Management + Oxbow Equity Partners) but sourcing bandwidth constrained","Airmax acquisition Oct 2024; formed Sept 2023; near-merger with P1 Service Group at ~12x","2024-10","1","OPR-002","High","https://www.smartbusinessdealmakers.com/dallas/event/speakers/paul-adams/","PE-backed, so qualify whether Tenex supplies origination before pitching depth of engagement."
"ORG-008","Genesis Park / GP Capital Partners","SBIC — debt and equity","CAPITAL_DEBT","CLIENT+REFERRAL","A","Houston","TX","genesis-park.com","Fund I $275M (SBIC 2021); GP Capital Partners II $300M oversubscribed (SBIC license Dec 2024)","Debt and equity","LMM","DIRECT — target markets stated as 'business services, industrial services, residential services, manufacturing, distribution'","Small team; SBIC structure","Fund II $300M oversubscribed; SBIC license Dec 2024","2025","1","CAP-003","High","https://www.sba.gov/","Only Tier A target with a published direct email and phone. Does BOTH debt and equity — dual-purpose relationship."
"ORG-009","InnoVen Services","Operator-acquirer","OPERATOR_ACQUIRER","CLIENT","A","Dallas","TX","","","Acquiring at 3-6x EBITDA","","DIRECT — HVAC / plumbing / electrical","NO — lean founder team","A.R.I. senior secured term loan to fund roll-up","2024-11","1","OPR-001","High","https://www.businesswire.com/news/home/20241112148058/en/","Highest-fit direct client on the board: DFW + exact vertical + funded + no internal corp dev."
"ORG-010","Main Street Capital (NYSE: MAIN)","BDC — one-stop LMM debt + equity","CAPITAL_DEBT","REFERRAL","A","Houston","TX","mainstcapital.com","Public BDC","One-stop debt + equity","Portfolio cos ~$10-150M revenue","DIRECT — Batjer & Associates (Abilene TX HVAC/plumbing, $15.1M); Q3 2025 $27.6M first-lien to HVAC/plumbing installer","Yes — full origination","Repeat Texas HVAC/plumbing lending","2025-Q3","2","CAP-006; CAP-007","High","https://www.mainstcapital.com/team/executive-committee","Strongest documented trade-lending track record of any Texas BDC."
"ORG-011","Monroe Capital","Senior / unitranche private credit","CAPITAL_DEBT","REFERRAL","A","Chicago","IL","monroecap.com","","Senior/unitranche","$3-35M borrower EBITDA","STRONGEST — Nelbud/360 Services ($14.5M, kitchen fire prevention/protection); Helton Electrical (2026); Interstate AC Service (HVAC/plumbing/building automation)","Origination team","Repeat trade lending incl. fire & life safety","2026","1","CAP-011","High on firm / None on individual","https://monroecap.com/financing-solutions/","Highest vertical alignment of any lender identified. Worth the research effort to name the right person."
"ORG-012","Rosewood Private Investments","Single family office (Caroline Hunt Trust Estate)","FAMILY_OFFICE","CLIENT","A","Dallas","TX","rosewoodpi.com","$1B+ (Rosewood Corp)","","","DIRECT — FIRE & LIFE SAFETY (Eagle Fire platform); industrial/environmental services","Small team","Eagle Fire add-ons Liberty Fire and Pro-Tec; Eagle Fire subsequently sold to Cobepa","2023-10","1","FO-001","High","https://rosewoodpi.com/","Best combination on the entire board: DFW + beachhead vertical + proven platform + lean team."
"ORG-013","Serata Capital Partners / Calidant Capital","Independent sponsor","IND_SPONSOR","CLIENT","A","Austin","TX","","","$10-30M checks historically","","MEDIUM — business services","NO dedicated BD","iGlobal ISS speaker; 15+ yrs PE incl. ORIX, Pharos, Shoreline","2026","1","IS-001","High","https://www.iglobalforum.com/",""
"ORG-014","Surge Private Equity","Family office / LMM buyout","FAMILY_OFFICE","CLIENT","A","Dallas","TX","surgepe.com","","","$2-7.5M","MEDIUM-HIGH — business services, healthcare, tech-enabled services; recurring-revenue thesis","Small team","White Plains Linen ~$50M+ investment","2025-08","1","FO-004","High","https://surgepe.com/","Dallas + active + lean team + clean thesis fit."
"ORG-015","Texas HVAC services platform (name undisclosed)","Operator-led independent sponsor","OPERATOR_ACQUIRER","CLIENT","A","Navasota","TX","","","","","DIRECT — HVAC","NO","Inaugural controlled buyout of a Texas HVAC business closed","2026-07","1","OPR-004","Medium (single source)","https://finance.yahoo.com/small-business/articles/raises-com-r-advises-successful-223000367.html","Distinct from unrelated same-name individuals. Structure was equity-light with institutional senior credit."
"ORG-016","User Friendly Home Services","Operator-acquirer","OPERATOR_ACQUIRER","CLIENT","A","The Woodlands","TX","","19+ companies, ~$40M revenue","","","DIRECT — HVAC / plumbing","NO","19+ acquisitions as of Mar 2025","2025-03","1","OPR-003","Medium-High","https://www.craftflow.com/dossier/what-companies-has-user-friendly-home-services-acquired","Clearest single-sentence value proposition of any target on the board."
"ORG-017","Weil Gotshal","PE law firm / family office network node","REFERRAL_LEGAL","REFERRAL","A","Dallas","TX","weil.com","","","","N/A — network node","N/A","Advises PE sponsors and family offices on direct investments; fmr GC Hunt Consolidated","2026","1","REF-002","High","https://www.acg.org/dfw","Unlocks FO-001, FO-006, FO-007, FO-012. Treat as a gateway, not a single contact."
"ORG-018","A.G. Hill Partners","Single family office (H.L. Hunt descendants)","FAMILY_OFFICE","CLIENT","B","Dallas","TX","","","","","LOW-MEDIUM — real estate / PE / energy","Unknown","Co-invests in direct deals (PureWest)","2025","1","FO-006","Medium","https://praxisrock.com/resources/investors/family-offices-dallas",""
"ORG-019","A.R.I. (Applied Real Intelligence) Senior Secured Growth Credit Fund","Private credit — senior secured term loans","CAPITAL_DEBT","REFERRAL","B","","","","","Senior secured term loans / structured equity","","DIRECT — financed InnoVen Services (Dallas HVAC/plumbing/electrical roll-up)","N/A — lender","Financed InnoVen; also facilitated their equity raise","2024-11","1","CAP-008","Medium-High","https://www.businesswire.com/news/home/20241112148058/en/","Dual-role lender/capital-formation. Do not disclose anything from an InnoVen conversation."
"ORG-020","CAMCO Investment Group","Family office / acquirer","OPERATOR_ACQUIRER","CLIENT","B","Dallas","TX","camcoig.com","","","","MEDIUM — real-estate heavy, expanding into operating companies","Has a Director of Acquisitions (see OPR-007)","Expanding from RE into operating-business acquisitions","2025","2","OPR-006; OPR-007","Medium","https://camcoig.com/",""
"ORG-021","Calvetti Ferguson (now Cherry Bekaert)","QofE / transaction advisory","REFERRAL_ACCOUNTING","REFERRAL","B","Houston / Dallas / Fort Worth","TX","cbh.com","","","","N/A","","Buy-side QofE practice, no success fee","2026","1","REF-016","Medium-High","https://calvettiferguson.com/services/quality-of-earnings/","No-success-fee alignment mirrors THE LINE — a natural conversation."
"ORG-022","CapitalPad","Independent-sponsor co-investment aggregator","CAPITAL_EQUITY","REFERRAL","B","","","","","$1-2.5M direct, aggregated via SPV","$1-7M (EV $5-30M)","DIRECT — explicitly likes residential and commercial services, route-based","Post-LOI co-investor","Charges sponsors NO fees; high sponsor throughput","2025","1","CAP-015","High on firm / None on individual","https://capitalpad.com/",""
"ORG-023","Cherry Bekaert","Transaction advisory","REFERRAL_ACCOUNTING","REFERRAL","B","Dallas","TX","cbh.com","","","","N/A","","Dallas market leader","2026","2","REF-017; REF-018","High","https://www.cbh.com/",""
"ORG-024","Dauntless Capital Partners","LMM PE","LMM_PE","CLIENT","B","Dallas","TX","","","","","MEDIUM — business services / manufacturing / defense / industrial tech","Lean partnership","Control buyouts","2025","1","PE-003","Medium on firm / None on individual","https://www.axial.net/",""
"ORG-025","Engage PEO","Services","REFERRAL_BANKING","REFERRAL","B","Dallas","TX","","","","","N/A","","ACG DFW board — membership","2026","1","REF-015","High","https://www.acg.org/dfw","First ACG contact chronologically."
"ORG-026","First Citizens Bank","Lender","REFERRAL_BANKING","REFERRAL","B","Dallas","TX","","","","","N/A","","ACG DFW board","2026","1","REF-011","High","https://www.acg.org/dfw","Disproportionate practical value for a first-year member."
"ORG-027","FirstCall Mechanical Group","Operator-acquirer, PE-backed (SkyKnight Capital)","OPERATOR_ACQUIRER","CLIENT","B","Austin","TX","","SkyKnight >$2.5B AUM","","","DIRECT — commercial HVAC / refrigeration / electrical / plumbing","PE-backed; verify internal BD before pitching","Private-credit senior secured facility upsized Sept 2025","2025-09","1","OPR-005","High","https://www.businesswire.com/","Commercial MEP fit; Austin not DFW."
"ORG-028","Forvis Mazars US","Accounting / transaction advisory","REFERRAL_ACCOUNTING","REFERRAL","B","Dallas","TX","","","","","N/A","","ACG DFW board","2026","1","REF-007","High","https://www.acg.org/dfw",""
"ORG-029","Gittemeier Ventures","Single family office","FAMILY_OFFICE","CLIENT","B","Dallas","TX","","","","$1-5M","MEDIUM — Texas buy-and-hold","NO","Texas buy-and-hold acquisition mandate","2025","1","FO-011","Medium (identity inferred)","https://www.axial.net/",""
"ORG-030","Gulf Coast Small Business Lending (Gulf Coast Bank & Trust)","SBA 7(a) national PLP","CAPITAL_SBA","REFERRAL","B","Dallas","TX","gulfcoastsba.com","","","","Nationwide PLP; veteran program","N/A","Dallas-based national SBA PLP division","2026","1","SBA-003","High on firm / None on individual","https://gulfcoastsba.com/","Only DFW-headquartered SBA lender identified."
"ORG-031","Hancock Whitney","Lender","REFERRAL_BANKING","REFERRAL","B","Dallas","TX","","","","","N/A","","ACG DFW board","2026","1","REF-010","High","https://www.acg.org/dfw",""
"ORG-032","Helium Capital","Independent sponsor","IND_SPONSOR","CLIENT","B","Houston","TX","","","","","DIRECT-ADJACENT — MRO facilities and industrial field services","NO","MRO / industrial field services focus","2025","1","IS-010","High on firm / None on individual","https://www.axial.net/","Strong fit; worth the naming effort."
"ORG-033","Hersh Family Investments","Single family office","FAMILY_OFFICE","CLIENT","B","Dallas","TX","hershfi.com","","","","MEDIUM — industrial / energy / direct PE","Unknown","Direct industrial investing","2025","1","FO-007","Medium","https://hershfi.com/","Profile height means a cold approach burns the shot."
"ORG-034","HighVista Strategies","Emerging-manager / deal-by-deal sponsor backer","CAPITAL_EQUITY","REFERRAL","B","Boston","MA","","","","","LMM generalist","Allocator","Tracks approximately 700 independent sponsors","2025","1","CAP-016","Medium-High","https://www.themiddlemarket.com/","Out of state but uniquely high network value."
"ORG-035","Institute of Global Competitiveness","PE network","REFERRAL_BANKING","REFERRAL","B","Dallas","TX","","","","","N/A","N/A","ACG DFW board","2026","1","REF-005","High","https://www.acg.org/dfw",""
"ORG-036","Labora","Single family office","FAMILY_OFFICE","CLIENT","B","Dallas","TX","labora.com","","","","MEDIUM-HIGH — electrical/solar distribution, real estate, PE","Unknown","Electrical-materials distribution holdings","2025","1","FO-008","Medium","https://labora.com/",""
"ORG-037","Live Oak Bank (NASDAQ: LOB)","SBA 7(a) lender — #1 by dollar FY2025","CAPITAL_SBA","REFERRAL","B","Wilmington","NC","","2,280 7(a) approvals, $2.8B FY2025","","","Vertical-underwriting acquisition specialist; 700+ credit; 30-60 day close","N/A","Reclaimed #1 SBA 7(a) position by dollar volume","2025-09","1","SBA-001","High on firm / None on individual","https://www.sba.gov/",""
"ORG-038","Lynch Holdings","Single family office","FAMILY_OFFICE","CLIENT","B","Dallas","TX","","","","","DIRECT — explicit FIRE PROTECTION mandate plus early-stage tech","Unknown","Stated fire-protection investment mandate","2025","1","FO-012","High on mandate / None on individual","https://praxisrock.com/resources/investors/family-offices-dallas","Beachhead vertical match. Highest-value name-resolution task in the research queue."
"ORG-039","National Fire & Safety (Highview Capital)","PE-backed platform","OPERATOR_ACQUIRER","CLIENT","B","","","","","","","DIRECT — FIRE & LIFE SAFETY; acquired Maxim Fire Systems and Texas Fire Alarm in DFW","PE-backed; verify","Two DFW fire & life safety acquisitions","2025","1","OPR-009","Medium-High","https://highviewcap.com/","Beachhead vertical + proven DFW appetite."
"ORG-040","Oak Legacy Management","Single family office","FAMILY_OFFICE","CLIENT","B","Dallas","TX","oaklegacy-us.com","","VC + LMM","industry-agnostic","LOW-MEDIUM — industry agnostic","Lean team","5-10 deals per year","2025","1","FO-005","Medium","https://oaklegacy-us.com/","High deal cadence is the qualifying signal."
"ORG-041","Palo Duro Capital","LMM PE","LMM_PE","CLIENT","B","Dallas","TX","palodurocapital.com","","","","MEDIUM — industry-specialized LMM buyouts","Small team","Industry-specialized LMM buyouts","2025","1","PE-002","Medium on firm / None on individual","https://palodurocapital.com/",""
"ORG-042","Pangea's Edge","Single family office","FAMILY_OFFICE","CLIENT","B","Addison","TX","pangeasedge.com","","","","LOW-MEDIUM — control and minority; PE/RE/energy","Unknown","THIN — recent direct activity not confirmed","","1","FO-009","Low-Medium","https://pangeasedge.com/",""
"ORG-043","Peninsula Capital Partners","Junior debt + structured equity","CAPITAL_EQUITY","REFERRAL","B","Southfield","MI","peninsulafunds.com","Fund VIII closed $400M (Sept 2025)","Junior debt + structured equity","LMM","LOW CONFIDENCE — broad industrials/services, no explicit trade statement","Origination team","Fund VIII $400M close","2025-09","1","CAP-009","Medium","https://peninsulafunds.com/","Out of state. Vertical fit unproven — verify before prioritizing."
"ORG-044","Plexus Capital","Structured debt + equity co-invest","CAPITAL_EQUITY","REFERRAL","B","Raleigh / Charlotte","NC","plexuscap.com","Fund VII $977M","Debt + equity co-invest","$2-15M","DIRECT — Century Mechanical (HVAC home services); Climate Efficiency Partners","Origination team","Explicit HVAC/home-services portfolio; backs independent sponsors and search funds","2025","1","CAP-010","High on firm / None on individual","https://plexuscap.com/company/century-mechanical/","Do not message until a named person is confirmed. Firm-level record only."
"ORG-045","RSM","Accounting / transaction advisory","REFERRAL_ACCOUNTING","REFERRAL","B","Dallas","TX","","","","","N/A","","ACG DFW board","2026","1","REF-008","High","https://www.acg.org/dfw",""
"ORG-046","SR Capital Advisors","Independent sponsor","IND_SPONSOR","CLIENT","B","","","","","","","MEDIUM-HIGH — infrastructure services (J5 Infrastructure)","NO","17 PE investments","2026","1","IS-004","Medium-High","https://www.iglobalforum.com/",""
"ORG-047","SeatonHill Partners","Fractional CFO","REFERRAL_ACCOUNTING","REFERRAL","B","Fort Worth","TX","","","","","N/A","","ACG DFW board","2026","1","REF-009","High","https://www.acg.org/dfw",""
"ORG-048","SixFive Partners","Operator-led independent sponsor","IND_SPONSOR","CLIENT","B","","TX","","","$5-50M revenue targets","$2-10M","MEDIUM-HIGH — commercial and industrial service businesses","NO","Acquires commercial/industrial service businesses; founders become CEO","2025","2","IS-002; IS-003","Medium-High","https://www.axial.net/",""
"ORG-049","Sky Island Capital","LMM PE","LMM_PE","CLIENT","B","Dallas","TX","","","","","LOW-MEDIUM — North American niche manufacturing control deals","Small team — no dedicated BD identified","Control deals plus add-ons; founded 2018","2025","1","PE-001","Medium on firm / None on individual","https://www.axial.net/","Manufacturing focus is off-beachhead."
"ORG-050","Strait Lane Capital Partners","Single family office","FAMILY_OFFICE","CLIENT","B","Dallas","TX","straitlanecapital.com","","","","MEDIUM — diversified direct acquisitions","Small team","Makosi acquisition","2026-01","1","FO-010","Medium","https://straitlanecapital.com/",""
"ORG-051","Sunflower Bank","Lender","REFERRAL_BANKING","REFERRAL","B","Dallas","TX","","","","","N/A","","ACG DFW board; incoming president","2026","1","REF-006","High","https://www.acg.org/dfw","Long-horizon value: she will run the chapter next."
"ORG-052","UrbanBuild (Bauer Investments)","Operator-acquirer","OPERATOR_ACQUIRER","CLIENT","B","Austin","TX","","","","","DIRECT — HVAC / plumbing","Unknown","We Cool LLC controlling stake; launching multi-trade services division","2026-02","1","OPR-008","Low-Medium","","Do NOT message until the individual is confirmed."
"ORG-053","Whitley Penn","Accounting / deal advisory","REFERRAL_ACCOUNTING","REFERRAL","B","Fort Worth","TX","whitleypenn.com","","","","N/A","","Fort Worth deal advisory practice","2026","1","REF-019","Medium-High","https://www.whitleypenn.com/","Better to find the practice lead than start at CEO."
