"license_type","license_number","business_county","business_name","business_address_line1","business_address_line2","business_city_state_zip","business_telephone","license_expiration_date_mmddccyy","owner_name","mailing_address_line1","mailing_address_line2","mailing_address_city_state_zip","mailing_address_county","owner_telephone","license_subtype","continuing_education_flag","business_mailing"
"A/C Contractor","3198","DALLAS","TRANSAIR INC",,,,,"05/21/2027","CHEN, MIKE KY",,,,"DALLAS",,"BC","N",
"A/C Contractor","32367","DALLAS","1ST CHOICE HVAC AND PLUMBING INC",,,,,"08/13/2027","GRAY, STEVEN MICHAEL",,,,"DALLAS",,"AE","N",
"A/C Contractor","21882","PARKER","WRC HEATING & AIR CONDITIONING",,,,,"05/09/2027","CUMMINGS, WILLIAM R JR",,,,"PARKER",,"AC","N",
"A/C Contractor","84278","TARRANT","SERVICEBEAVER, LLC",,,,,"10/25/2026","TORQUEMADA, EDMUNDO",,,,"TARRANT",,"AC","N",
"A/C Contractor","97767","DALLAS","AIRTRON LLC",,,,,"06/05/2027","BLANCHARD, CHRISTOPHER JAMES",,,,"DALLAS",,"BE","N",
"A/C Contractor","14323","DALLAS","DALLAS PLUMBING LLC",,,,,"06/25/2027","FARIS, GREG",,,,"DALLAS",,"AE","N",
"A/C Contractor","20546","TARRANT","PARKWOOD SERVICES",,,,,"04/05/2027","SANCHEZ, JOEL",,,,"TARRANT",,"AC","N",
"A/C Contractor","23386","DALLAS","TEXAS APARTMENT SERVICES,LLC",,,,,"05/07/2027","OBARR, EMMETT LAWSON",,,,"DALLAS",,"AE","N",
"A/C Contractor","85211","DALLAS","VALCO HEATING & AIR LLC",,,,,"12/21/2026","ORTUNO, ANA LETICIA",,,,"DALLAS",,"AE","N",
"A/C Contractor","2189","TARRANT","POINTS WEST ENGINEEERING",,,,,"09/02/2026","ST JOHN, WESLEY",,,,"TARRANT",,"AE","N",
"A/C Contractor","85340","DALLAS","LAKEVIEW AC & HEATING LLC",,,,,"01/03/2027","ALONZO, MANUEL",,,,"DALLAS",,"AE","N",
"A/C Contractor","32544","KAUFMAN","SUPERIOR HEATING AND AIR HOLDINGS INC",,,,,"08/20/2026","COWLEY, LOREN D",,,,"KAUFMAN",,"AC","N",
"A/C Contractor","18896","DALLAS","JMD SALES & SERVICE INC",,,,,"05/27/2027","DOLAN, JAMES",,,,"DALLAS",,"BC","N",
"A/C Contractor","27136","TARRANT","HERRERA AIR CONDITIONING",,,,,"06/15/2027","HERRERA, SERVANDO",,,,"TARRANT",,"BC","N",
"A/C Contractor","26829","COLLIN","CT2 SOLAR, LLC",,,,,"02/25/2027","DE LA TORRE, DANIEL L",,,,"COLLIN",,"AC","N",
"A/C Contractor","12316","COLLIN","ROSS AIR CONDITIONING & HEAT",,,,,"08/11/2026","ROSS, CARL ROSCOE",,,,"COLLIN",,"BE","N",
"A/C Contractor","13304","DALLAS","JESSE'S A/C & APPLIANCE SERVICES",,,,,"07/16/2027","SIMMONS, JESSE RAY",,,,"DALLAS",,"BC","N",
"A/C Contractor","23031","DENTON","FULLER MECHANICAL SERVICE",,,,,"02/18/2027","FULLER, GARY W",,,,"DENTON",,"BE","N",
