account_name,account_type,hq_city,hq_state,website_domain,fund_or_aum,verticals_active,states_active,platform_count,texas_exposure,sponsor_parent,trigger_type,trigger_date,trigger_source_url,contact_name,contact_title,verification,primary_source_url,last_checked,notes,tier,stage,source_key
AE Industrial Partners,P1_PE,Boca Raton,FL,aeroequity.com,,fire_life_safety|commercial_hvac|commercial_mep,GA|TX,2,yes,,T3,2026-01-20,https://www.businesswire.com/news/home/20260120089736/en/,Bryan McElwee,Partner,VERIFIED,https://www.businesswire.com/news/home/20260120089736/en/,2026-08-17,"United Building Solutions (DFW Mechanical, Wylie TX, Jan 2026); Altus Fire and Life Safety.",2,Not reviewed,P1-001
Agellus Capital,P1_PE,St. Louis,MO,,,fire_life_safety,TX,1,yes,,T3,2025-02-26,https://www.privsource.com/,,,DISCOVERY,https://www.privsource.com/,2026-08-17,"Bluejack Fire & Life Safety, HQ Houston TX. Platform formed Feb 2025; Orcus add-on Mar 2025. Newer platform - higher likely origination need.",2,Not reviewed,P1-002
Align Capital Partners,P1_PE,Cleveland,OH,aligncp.com,$770M Fund IV final close 2026-06-15; ~$1.1B+ incl. Collaborate Fund II,facilities_services|industrial_services,TX,0,yes,,T2,2026-06-15,https://www.businesswire.com/,,Head of Business Development,VERIFIED,https://aligncp.com/,2026-08-17,Dallas office. 40 platforms / 145 add-ons since 2016. Open BD VP role = T5 signal alongside T2.,2,Not reviewed,P1-003
Alpine Investors,P1_PE,San Francisco,CA,alpine-investors.com,"$18.8B AUM (Alpine, 2026-02-11)",residential_hvac|residential_plumbing|residential_electrical|roofing|commercial_hvac,,4,unknown,,T3,2025-01-01,,,,VERIFIED,https://ctacquisitions.com/guides/private-equity-hvac-2026/,2026-08-17,"Most active HVAC sponsor. Backs Apex, Vertex, Astra/Orion. Offices SF/NY/Austin.",3,Not reviewed,P1-004
Altas Partners,P1_PE,Toronto,,altas.com,,residential_hvac|roofing|fire_life_safety,,3,unknown,,T3,2025-05-08,,,,DISCOVERY,https://ctacquisitions.com/guides/private-equity-hvac-2026/,2026-08-17,"Canada-HQ, US-active. Redwood (~$1.1B), Tecta America, co-owns Pye-Barker. hq_state blank: non-US.",2,Not reviewed,P1-005
Apax Partners,P1_PE,New York,NY,apax.com,,residential_hvac|residential_plumbing|fire_life_safety,,1,unknown,,NONE,,,,,DISCOVERY,https://ctacquisitions.com/guides/private-equity-hvac-2026/,2026-08-17,"Owns Authority Brands (home-services franchisor), acquired 2018.",3,Not reviewed,P1-006
Apollo Global Management,P1_PE,New York,NY,apollo.com,,residential_hvac|residential_plumbing|residential_electrical,,1,unknown,,T3,2026-05-28,https://profitabilitypartners.io/home-services-private-equity-acquirers/,,,DISCOVERY,https://profitabilitypartners.io/home-services-private-equity-acquirers/,2026-08-17,"CONFLICT: Apollo release (2026-05-28) states minority interest in Apex alongside Alpine, $10B valuation; some 2025 trade press dated deal earlier. Both carried.",2,Not reviewed,P1-007
Ardian,P1_PE,New York,NY,ardian.com,,commercial_hvac,TX,1,yes,,T3,2026-01-31,https://www.privsource.com/,,,DISCOVERY,https://www.privsource.com/,2026-08-17,Impact Climate Technologies platform; Larry Wunsch & Associates (San Antonio) add-on Jan 2026.,2,Not reviewed,P1-008
Audax Private Equity,P1_PE,Boston,MA,,,roofing,,1,unknown,,NONE,,,,,DISCOVERY,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,2026-08-17,Backs CentiMark (commercial roofing). Domain left blank - not verified.,3,Not reviewed,P1-009
Bain Capital,P1_PE,Boston,MA,baincapital.com,,commercial_hvac|commercial_mep|building_automation|roofing,,1,unknown,,T3,2025-12-16,https://ctacquisitions.com/guides/private-equity-hvac-2026/,,,DISCOVERY,https://ctacquisitions.com/guides/private-equity-hvac-2026/,2026-08-17,Acquired Service Logic with Mubadala from Leonard Green.,2,Not reviewed,P1-010
BDT & MSD Partners,P1_PE,Chicago,IL,bdtmsd.com,,fire_life_safety,MN,1,unknown,,T3,2025-08-01,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,,,DISCOVERY,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,2026-08-17,Acquired Summit Companies from BlackRock LTPC Aug 2025.,2,Not reviewed,P1-011
Berkshire Partners,P1_PE,Boston,MA,berkshirepartners.com,,fire_life_safety,,1,unknown,,NONE,,,,,DISCOVERY,https://ctacquisitions.com/guides/private-equity-platforms-by-sector-2026/,2026-08-17,"CONFLICT: named as Encore Fire owner by one source, Permira by another. Both carried.",3,Not reviewed,P1-012
Bernhard Capital Partners,P1_PE,Baton Rouge,LA,bernhardcapital.com,"~$6B AUM (BCP, 2026)",energy_services|utility_services,TX,2,yes,,T3,2026-08-12,https://www.businesswire.com/news/home/20260812343122/en/,Mark Spender,Partner,VERIFIED,https://www.bernhardcapital.com/bcp-backed-united-utility-services-completes-acquisition-of-bhi-power-delivery/,2026-08-17,"TechServ (Tyler, TX) platform Jun 2025, 850+ employees, 21 states. Formed United Utility (sold to Sandbrook); Optimum Energy Co.",2,Not reviewed,P1-013
Blackstone,P1_PE,New York,NY,blackstone.com,,residential_hvac|residential_plumbing|fire_life_safety,,2,unknown,,T3,2026-02-17,https://ctacquisitions.com/guides/private-equity-hvac-2026/,,,DISCOVERY,https://ctacquisitions.com/guides/private-equity-hvac-2026/,2026-08-17,Champions Group via BXPE (~$2.5B/~18.5x); AI Fire acquired Feb 2025.,2,Not reviewed,P1-014
Brightstar Capital Partners,P1_PE,New York,NY,brightstarcap.com,,roofing,TN,1,unknown,,T3,2024-08-07,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,Wayne Holloway,Best Choice Roofing CEO,DISCOVERY,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,2026-08-17,"Best Choice Roofing (TN; 85+ locations, 24 states).",3,Not reviewed,P1-015
Carousel Capital,P1_PE,Charlotte,NC,carouselcapital.com,,roofing,CO|TX|GA|SC,1,yes,,T3,2025-10-01,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,,,DISCOVERY,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,2026-08-17,Merged covR + United Roofing Oct 2025.,2,Not reviewed,P1-016
CCMP Growth,P1_PE,New York,NY,ccmpgrowth.com,,roofing,,1,unknown,,T3,2025-01-01,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,,,DISCOVERY,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,2026-08-17,Backs Omnia Exterior Solutions.,3,Not reviewed,P1-017
Concentric Equity Partners,P1_PE,Chicago,IL,concentricequity.com,,fire_life_safety|commercial_electrical,CA,1,unknown,,T3,2025-01-01,https://www.privsource.com/acquisitions/electrical-services/2025,,,DISCOVERY,https://www.privsource.com/acquisitions/electrical-services/2025,2026-08-17,Backs RapidFire Safety & Security; Tri-X (CA).,3,Not reviewed,P1-018
Eagle Merchant Partners,P1_PE,Atlanta,GA,eaglemerchant.com,,roofing,TX|NM|FL|SC,1,yes,,T3,2024-11-05,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,,,DISCOVERY,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,2026-08-17,Eskola Roofing & Waterproofing (22 locations).,3,Not reviewed,P1-019
Freeman Spogli & Co.,P1_PE,Los Angeles,CA,freemanspogli.com,,roofing,,1,unknown,,T3,2025-01-01,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,,,DISCOVERY,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,2026-08-17,Co-backs Infinity Home Services (26 brands) with LightBay.,3,Not reviewed,P1-020
Garnett Station Partners,P1_PE,New York,NY,garnettstation.com,,commercial_mep|commercial_hvac,VT,1,unknown,,T3,2025-01-01,,,,DISCOVERY,https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical,2026-08-17,Backs Grizzly MEP; Vermont Mechanical partnership.,3,Not reviewed,P1-021
Goldman Sachs Alternatives,P1_PE,New York,NY,goldmansachs.com,,residential_hvac|residential_plumbing|residential_electrical,,1,unknown,,T3,2024-11-10,,,,VERIFIED,https://ctacquisitions.com/guides/private-equity-hvac-2026/,2026-08-17,Nov 2024 majority recap of Sila from Morgan Stanley Capital Partners; reported ~$1.7B / ~17x.,3,Not reviewed,P1-022
Greenbelt Capital Partners,P1_PE,Austin,TX,greenbeltcap.com,,utility_services|energy_services,CO,1,yes,,T3,2026-03-11,https://www.orix.com/deals/greenbelt-capital-partners-agrees-to-acquire-peak-utility-services-group-from-orix-capital-partners/,Chris Murphy,Partner,VERIFIED,https://www.orix.com/deals/greenbelt-capital-partners-agrees-to-acquire-peak-utility-services-group-from-orix-capital-partners/,2026-08-17,Definitive agreement to acquire Peak Utility Services from ORIX.,2,Not reviewed,P1-023
Gridiron Capital,P1_PE,New Canaan,CT,gridironcapital.com,,residential_hvac|residential_plumbing|residential_electrical|roofing,,2,unknown,,T3,2023-01-18,,Jake Sloane,LSP Co-founder,DISCOVERY,https://ctacquisitions.com/guides/private-equity-hvac-2026/,2026-08-17,"Legacy Service Partners (Tampa, 19 states); Leaf Home/Erie Home.",3,Not reviewed,P1-024
Gryphon Investors,P1_PE,San Francisco,CA,gryphoninvestors.com,,fire_life_safety,CA,1,unknown,,NONE,,,,,DISCOVERY,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,2026-08-17,"Consolidated Fire Protection (Cosco/Firetrol), Western US.",3,Not reviewed,P1-025
Hastings Equity Partners,P1_PE,Boston,MA,hastingsequity.com,,commercial_electrical|energy_services,WA,1,unknown,,T3,2025-04-16,https://www.cbinsights.com/company/mkd-electric,,,DISCOVERY,https://www.cbinsights.com/company/mkd-electric,2026-08-17,Backs MKD Electric; Sea-Tac Electric Apr 2025.,2,Not reviewed,P1-026
Heartwood Partners,P1_PE,Norwalk,CT,heartwoodpartners.com,,commercial_electrical|building_automation,FL,1,unknown,,T3,2025-11-05,https://www.privsource.com/acquisitions/electrical-services/2025,,,DISCOVERY,https://www.privsource.com/acquisitions/electrical-services/2025,2026-08-17,Backs Norlee Group; Inter-Bay Electric Nov 2025.,2,Not reviewed,P1-027
Hidden Harbor Capital Partners,P1_PE,Fort Lauderdale,FL,hiddenharborcap.com,,residential_hvac|residential_plumbing,TN,1,unknown,,T3,2025-01-01,,,,DISCOVERY,https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical,2026-08-17,"Backs Air Conditioning Specialist (ACS), TN.",3,Not reviewed,P1-028
Highview Capital,P1_PE,Los Angeles,CA,highviewcapital.com,,fire_life_safety,,1,unknown,,T3,2025-08-01,https://highviewcapital.com/portfolio/national-fire-safety/,,,VERIFIED,https://highviewcapital.com/portfolio/national-fire-safety/,2026-08-17,National Fire & Safety (7 Western states).,2,Not reviewed,P1-029
Huron Capital,P1_PE,Detroit,MI,huroncapital.com,,commercial_hvac|commercial_mep|building_automation|commercial_electrical|roofing,,3,unknown,,T3,2024-07-23,https://www.businesswire.com/news/home/20240723945976/en/,Cale Kaczmarek,Principal,VERIFIED,https://www.huroncapital.com/news/huron-capital-launches-rampart-exterior-servicestm-to-provide-commercial-roofing-and-exterior-services/,2026-08-17,"ExecFactor buy-and-build. Exigent, Rampart Exterior, RK Electric/Criticore.",3,Not reviewed,P1-030
IMB Partners,P1_PE,Bethesda,MD,imbpartners.com,,utility_services|commercial_electrical,PA,2,unknown,,T3,2026-07-01,https://middlemarketgrowth.org/pe-weekly-july-10-16-2026/,Tarrus Richardson,Founder & CEO,VERIFIED,https://www.businesswire.com/news/home/20220315005268/en/,2026-08-17,Utility/govt services. Carr & Duff (2022); Strategic Land Services (2026); Farwest Corrosion.,2,Not reviewed,P1-031
Imperial Capital,P1_PE,Toronto,,imperialcap.com,,roofing|residential_hvac,,2,unknown,,T3,2025-01-01,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,,,DISCOVERY,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,2026-08-17,Skyline Roofing Partners; sold Frontier Service Partners to Apex Jan 2024. hq_state blank: non-US.,3,Not reviewed,P1-032
Investcorp,P1_PE,New York,NY,investcorp.com,,fire_life_safety,TN,1,unknown,,T3,2025-12-01,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,,,DISCOVERY,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,2026-08-17,Acquired Guardian Fire Services (Nashville) Dec 2025.,2,Not reviewed,P1-033
KKR,P1_PE,New York,NY,kkr.com,,residential_hvac|residential_plumbing|fire_life_safety|landscaping,,3,unknown,,T3,2025-01-01,,,,DISCOVERY,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,2026-08-17,Neighborly (Q1 2025); Marmic Fire (from HGGC Jul 2024); co-backs BrightView.,3,Not reviewed,P1-034
Knox Lane,P1_PE,San Francisco,CA,knoxlane.com,,fire_life_safety,MD,1,unknown,,T3,2024-01-01,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,,,DISCOVERY,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,2026-08-17,Majority owner Guardian Fire Protection Services (MD) since Jan 2024.,3,Not reviewed,P1-035
L Squared Capital Partners,P1_PE,Newport Beach,CA,lsquaredcap.com,"$2B+ AUM (L Squared, 2026)",building_automation,IN,1,unknown,,T3,2026-02-24,https://www.businesswire.com/news/home/20260224862543/en/,,,VERIFIED,https://www.businesswire.com/news/home/20260224862543/en/,2026-08-17,Functional Devices (building automation controls). Actively pursuing add-ons.,2,Not reviewed,P1-036
Leonard Green & Partners,P1_PE,Los Angeles,CA,leonardgreen.com,,residential_hvac|commercial_hvac|fire_life_safety,,3,unknown,,T3,2025-12-01,,,,DISCOVERY,https://ctacquisitions.com/guides/private-equity-hvac-2026/,2026-08-17,Wrench Group; co-owns Pye-Barker. Sold Service Logic to Bain Dec 2025.,2,Not reviewed,P1-037
LightBay Capital,P1_PE,Los Angeles,CA,lightbaycapital.com,,roofing,,1,unknown,,T3,2025-01-01,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,,,DISCOVERY,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,2026-08-17,Co-backs Infinity Home Services with Freeman Spogli.,3,Not reviewed,P1-038
MFG Partners,P1_PE,New York,NY,mfgpartners.com,,commercial_electrical|utility_services,CO|OH,2,unknown,,T3,2025-11-18,https://www.businesswire.com/news/home/20251118389583/en/,Jeff Mizrahi,Partner,VERIFIED,https://www.businesswire.com/news/home/20251118389583/en/,2026-08-17,Regency Electric (Denver); CST Utilities (OH). Fund vs fundless status not disclosed.,2,Not reviewed,P1-039
MSD Partners,P1_PE,New York,NY,msdpartners.com,,landscaping,,1,unknown,,NONE,,,,,DISCOVERY,https://ctacquisitions.com/guides/landscaping-ma-multiples-2026/,2026-08-17,Backs Yellowstone Landscape.,3,Not reviewed,P1-040
New Water Capital,P1_PE,Boca Raton,FL,newwatercap.com,,landscaping,,1,unknown,,NONE,,,,,DISCOVERY,https://ctacquisitions.com/guides/landscaping-ma-multiples-2026/,2026-08-17,Backs Sperber Landscape Companies.,3,Not reviewed,P1-041
OMERS Private Equity,P1_PE,New York,NY,omers.com,,commercial_hvac|commercial_plumbing|building_automation|residential_hvac,AZ|TX,2,yes,,T3,2022-08-05,,,,DISCOVERY,https://ctacquisitions.com/guides/private-equity-plumbing-2026/,2026-08-17,"Pueblo Mechanical (2022); Modigent; TurnPoint. TX add-ons: Climate Solutions (Austin), Evolution Mechanical (Dallas-area).",3,Not reviewed,P1-042
One Rock Capital Partners,P1_PE,New York,NY,onerockcapital.com,,landscaping|facilities_services,,1,unknown,,T3,2024-08-01,https://ctacquisitions.com/ma-advisor-for-landscaping-business/,,,DISCOVERY,https://ctacquisitions.com/ma-advisor-for-landscaping-business/,2026-08-17,Take-private of BrightView (with KKR) announced Aug 2024.,3,Not reviewed,P1-043
ORIX Capital Partners,P1_PE,New York,NY,orix.com,,utility_services|energy_services,TX,0,yes,,T3,2025-04-11,https://www.orix.com/deals/greenbelt-capital-partners-agrees-to-acquire-peak-utility-services-group-from-orix-capital-partners/,Matt Scullion,Managing Director,VERIFIED,https://www.orix.com/deals/greenbelt-capital-partners-agrees-to-acquire-peak-utility-services-group-from-orix-capital-partners/,2026-08-17,"Peak Utility incl. 5 Star Electric (DFW, ~$108.7M per SEC 8-K) and Superior Pipeline (Fort Worth). Selling Peak to Greenbelt.",2,Not reviewed,P1-044
Paceline Equity Partners,P1_PE,Dallas,TX,,,commercial_mep|fire_life_safety,TX,1,yes,,T3,2025-04-10,https://www.abfjournal.com/,,,DISCOVERY,https://www.abfjournal.com/,2026-08-17,Kassel Mechanical Holdings: $40M preferred equity + Arrow Electric add-on. Domain not verified.,2,Not reviewed,P1-045
Percheron Capital,P1_PE,San Francisco,CA,percheron.com,,fire_life_safety|residential_hvac|residential_plumbing,TX,2,yes,,T2,2025-11-01,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,,,DISCOVERY,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,2026-08-17,"Launched ASPYRE Fire Nov 2025; TurnPoint HVAC (2023); McWilliams & Son (Lufkin, TX) platform 2022.",2,Not reviewed,P1-046
Permira,P1_PE,Menlo Park,CA,permira.com,,fire_life_safety,RI,1,unknown,,T3,2025-03-01,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,,,DISCOVERY,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,2026-08-17,Acquired Encore Fire Protection Mar 2025. CONFLICT: Berkshire Partners named as Encore owner by another source. Both carried.,2,Not reviewed,P1-047
Platte River Equity,P1_PE,Denver,CO,platteriverequity.com,,building_automation|commercial_electrical|utility_services,TX|NC,2,yes,,T3,2026-01-14,https://www.privsource.com/acquisitions/deal/platte-river-equity-acquires-building-controls-solutions-wySvlo,Mark Brown,Managing Director,VERIFIED,https://platteriverequity.com/platte-river-equity-announces-the-acquisition-of-building-controls-solutions/,2026-08-17,Building Controls & Solutions (Dallas); Team UIS (Jan 2026).,2,Not reviewed,P1-048
Ridgemont Equity Partners,P1_PE,Charlotte,NC,ridgemontep.com,,commercial_hvac|commercial_mep|facilities_services,,1,unknown,,T3,2022-06-01,,,,DISCOVERY,https://www.threesixtyseven.com/wp-content/uploads/2025/09/US-Commercial-HVAC-Plumbing-Industry-Report-V2.pdf,2026-08-17,Backs Crete United since June 2022. Sale process reported late 2025 (T1 signal).,3,Not reviewed,P1-049
Sandbrook Capital,P1_PE,Stamford,CT,sandbrook.com,,utility_services|energy_services,,1,unknown,,T3,2025-12-01,https://www.sandbrook.com/news/sandbrook-announces-acquisition-of-united-utility-services,Colt Moedl,United Utility CEO,VERIFIED,https://www.sandbrook.com/news/sandbrook-announces-acquisition-of-united-utility-services,2026-08-17,"Acquired United Utility (grid infra) from Bernhard, with Blackstone Credit.",2,Not reviewed,P1-050
Shore Capital Partners,P1_PE,Chicago,IL,shorecp.com,,residential_hvac|residential_plumbing|commercial_mep,FL,1,unknown,,T3,2025-01-01,,,,DISCOVERY,https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical,2026-08-17,"Growth partnership with Comfort Temp (Gainesville, FL).",3,Not reviewed,P1-051
SkyKnight Capital,P1_PE,San Francisco,CA,skyknightcapital.com,,commercial_hvac|commercial_mep|commercial_electrical,TX,1,yes,,T3,2023-02-01,https://www.achrnews.com/articles/152616-skyknight-capital-launches-firstcall-mechanical-group-with-three-acquisitions,Evan Eachus,FirstCall Founder & CEO,VERIFIED,https://www.achrnews.com/articles/152616-skyknight-capital-launches-firstcall-mechanical-group-with-three-acquisitions,2026-08-17,"Launched FirstCall Mechanical Group (Austin, TX).",3,Not reviewed,P1-052
Stellex Capital Management,P1_PE,New York,NY,stellex.com,,residential_plumbing|commercial_plumbing|commercial_electrical,TX|WA|FL|NC|SC,2,yes,,T3,2022-01-01,,,,DISCOVERY,https://ctacquisitions.com/plumbing-pe-rollup-tracker-2026/,2026-08-17,P3 Services (Peltram) Jan 2022; ICS Holding.,3,Not reviewed,P1-053
Sun Capital Partners,P1_PE,Boca Raton,FL,suncappart.com,,residential_hvac|roofing,,2,unknown,,T3,2025-01-01,,,,DISCOVERY,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,2026-08-17,"Latite Roofing Jan 2025. CONFLICT: named as Redwood sponsor by one source, Altas by another. Both carried.",3,Not reviewed,P1-054
The Carlyle Group,P1_PE,Washington,DC,carlyle.com,,fire_life_safety,,1,unknown,,NONE,,,,,DISCOVERY,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,2026-08-17,Majority owner Sciens Building Solutions since Dec 2021.,3,Not reviewed,P1-055
The Riverside Company,P1_PE,New York,NY,riversidecompany.com,,residential_hvac|residential_plumbing|residential_electrical,TX|CO|WA|ID|NM,1,yes,,T3,2025-01-01,,,,DISCOVERY,https://ctacquisitions.com/plumbing-pe-rollup-tracker-2026/,2026-08-17,T3 Services Group.,3,Not reviewed,P1-056
The Sterling Group,P1_PE,Houston,TX,sterling-group.com,,commercial_mep|residential_plumbing|residential_electrical,TX,1,yes,,T3,2024-11-01,https://sterling-group.com/,Greg Elliott,Partner,VERIFIED,https://sterling-group.com/,2026-08-17,"L&S Mechanical (Richardson, TX), residential tri-trade MEP new construction, held in Fund IV. QECC add-on Nov 2024.",3,Not reviewed,P1-057
Trinity Hunt Partners,P1_PE,Dallas,TX,trinityhunt.com,,residential_hvac|commercial_hvac|energy_services,TX,1,yes,,T2,2026-02-04,https://www.businesswire.com/news/home/20260204186977/en/,,,VERIFIED,https://www.businesswire.com/news/home/20260204186977/en/,2026-08-17,Backs Averon Group (national HVAC distribution).,2,Not reviewed,P1-058
Trivest Partners,P1_PE,Miami,FL,trivest.com,"~$6B AUM (Trivest, 2026)",landscaping,,1,unknown,,NONE,,,,,DISCOVERY,https://bluwave.net/pe-awards,2026-08-17,Founder-focused; Aspen Grove Landscape Group.,3,Not reviewed,P1-059
Voyager Interests,P1_PE,Houston,TX,voyagerinterests.com,,energy_services,TX,1,yes,,T3,2025-03-17,https://www.businesswire.com/,Robert Trainer,Partner,VERIFIED,https://voyagerinterests.com/,2026-08-17,"Tejas Completion Services (Midland, TX), specialty pumping. Majority investment Mar 2025.",2,Not reviewed,P1-060
White Wolf Capital,P1_PE,Miami,FL,whitewolfcapital.com,,residential_plumbing|commercial_hvac|residential_hvac,FL,1,unknown,,T3,2025-01-01,,,,DISCOVERY,https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical,2026-08-17,Backs Seacoast Service Partners (FL).,3,Not reviewed,P1-061
Wind Point Partners,P1_PE,Chicago,IL,windpointpartners.com,,fire_life_safety|building_automation,,1,unknown,,NONE,,,,,DISCOVERY,https://ctacquisitions.com/guides/private-equity-platforms-by-sector-2026/,2026-08-17,Backs Pavion (fire/security/AV).,3,Not reviewed,P1-062
