"org_id","firm","firm_type","segment","bucket","tier","city","state","website","aum_or_fund_size","check_size","ebitda_range","vertical_fit","internal_corpdev","buyside_signal","signal_date","contact_count","contact_ids","confidence","source_url","notes","account_type","sponsor_parent","verticals_active","states_active","platform_count","texas_exposure","trigger_type","trigger_date","verification","last_checked"
"ORG-001","414 Capital","Investment bank","REFERRAL_BANKING","REFERRAL","A","Dallas","TX","","","","","N/A","N/A","ACG DFW board","2026","1","REF-004","High","https://www.acg.org/dfw","","","","","","","","","","",""
"ORG-002","Align Collaborate","Independent-sponsor equity capital","CAPITAL_EQUITY","REFERRAL","A","Dallas","TX","aligncollaborate.com","Fund I $233M (Mar 2025); Collaborate II $375M; ACP IV $770M (Jun 2026)","$5-30M equity per transaction","$2-15M","Building/facilities services (City Wide heritage via NCK Capital)","Equity-only; no sourcing arm — backs sponsors who source themselves","Collaborate II $375M and ACP IV $770M closed","2026-06","2","CAP-001; CAP-002","High","https://aligncollaborate.com/news/align-collaborate-supports-ix-capital-partners-with-growth-investment-in-teague-electric/","Former independent sponsors themselves (NCK Capital). Single most valuable referral node on the board — they meet under-resourced sponsors daily.
prior source_url (2026-08-18): https://www.businesswire.com/news/home/20250327278344/en/
[2026-08-18 client-register-v1 / P3-001] Equity partner FOR independent sponsors, not itself fundless. Capital-source node - route sponsors here.","P3_INDEPENDENT_SPONSOR","","commercial_electrical","KS","1","yes","T2","2025-03-01","VERIFIED","2026-08-17"
"ORG-003","Bell Nunnally","M&A law firm / association leadership","REFERRAL_LEGAL","REFERRAL","A","Dallas","TX","bellnunnally.com","","","","N/A — network node","N/A","Leads ACG DFW (780+ members)","2026","1","REF-001","High","https://www.acg.org/dfw","Highest-leverage single relationship in the referral layer.","","","","","","","","","",""
"ORG-004","Bright Equities","Single family office","FAMILY_OFFICE","CLIENT","A","Lewisville","TX","brightequities.com","","$1-10M equity","","MEDIUM — direct equity in operating companies, organic + acquisition growth","NO dedicated BD","Direct equity in operating companies","2025","2","FO-002; FO-003","Medium","https://brightequities.com/","Flagged low confidence in research pass 2 — verify they actually deploy into acquisitions.","P2_FAMILY_OFFICE","","","","","","","","",""
"ORG-005","Bulkley Capital","LMM investment bank","REFERRAL_BANKING","REFERRAL","A","Dallas","TX","","","","","N/A","N/A","ACG DFW board","2026","1","REF-003","High","https://www.acg.org/dfw","BUY-SIDE ONLY positioning is essential in this conversation.","","","","","","","","","",""
"ORG-006","Capital Southwest (NASDAQ: CSWC)","Internally-managed BDC / 2 SBIC licenses","CAPITAL_DEBT","REFERRAL","A","Dallas","TX","capitalsouthwest.com","SBIC I $217.5M (2021); SBIC II (2025); ~$350M aggregate debenture capacity","First-lien senior secured up to $75M","$3-12M sweet spot","MEDIUM — financed Surge PE's ~$50M White Plains Linen (commercial services); no explicit HVAC statement","Full origination team — NOT a client","~92% sponsor-backed book; SBIC II license 2025","2025","2","CAP-004; CAP-005","High","https://www.capitalsouthwest.com/","Published email and phone. Treat as customer/referral source, never competitor.","","","","","","","","","",""
"ORG-007","Columbia Home Services","Operator-acquirer, PE-backed","OPERATOR_ACQUIRER","CLIENT","A","Dallas","TX","","~$170M+ revenue; ~21 partner companies across 6 states","","","DIRECT — HVAC / plumbing / electrical","PE-backed (Tenex Capital Management + Oxbow Equity Partners) but sourcing bandwidth constrained","Airmax acquisition Oct 2024; formed Sept 2023; near-merger with P1 Service Group at ~12x","2024-10","1","OPR-002","High","https://www.smartbusinessdealmakers.com/dallas/event/speakers/paul-adams/","PE-backed, so qualify whether Tenex supplies origination before pitching depth of engagement.","","","","","","","","","",""
"ORG-008","Genesis Park / GP Capital Partners","SBIC — debt and equity","CAPITAL_DEBT","CLIENT+REFERRAL","A","Houston","TX","genesis-park.com","Fund I $275M (SBIC 2021); GP Capital Partners II $300M oversubscribed (SBIC license Dec 2024)","Debt and equity","LMM","DIRECT — target markets stated as 'business services, industrial services, residential services, manufacturing, distribution'","Small team; SBIC structure","Fund II $300M oversubscribed; SBIC license Dec 2024","2025","1","CAP-003","High","https://www.sba.gov/","Only Tier A target with a published direct email and phone. Does BOTH debt and equity — dual-purpose relationship.","","","","","","","","","",""
"ORG-009","InnoVen Services","Operator-acquirer","OPERATOR_ACQUIRER","CLIENT","A","Dallas","TX","","","Acquiring at 3-6x EBITDA","","DIRECT — HVAC / plumbing / electrical","NO — lean founder team","A.R.I. senior secured term loan to fund roll-up","2024-11","1","OPR-001","High","https://www.businesswire.com/news/home/20241112148058/en/","Highest-fit direct client on the board: DFW + exact vertical + funded + no internal corp dev.","","","","","","","","","",""
"ORG-010","Main Street Capital (NYSE: MAIN)","BDC — one-stop LMM debt + equity","CAPITAL_DEBT","REFERRAL","A","Houston","TX","mainstcapital.com","Public BDC","One-stop debt + equity","Portfolio cos ~$10-150M revenue","DIRECT — Batjer & Associates (Abilene TX HVAC/plumbing, $15.1M); Q3 2025 $27.6M first-lien to HVAC/plumbing installer","Yes — full origination","Repeat Texas HVAC/plumbing lending","2025-Q3","2","CAP-006; CAP-007","High","https://www.mainstcapital.com/team/executive-committee","Strongest documented trade-lending track record of any Texas BDC.","","","","","","","","","",""
