"template_id","segment","channel","purpose","subject_line","body","cta","guardrails"
"T1","CAPITAL_EQUITY","LinkedIn DM / email","Independent-sponsor equity capital partner — referral relationship","DFW trades register — thought it might be useful to your sponsors","{first_name} — congratulations on {recent_fund_or_deal}.\n\nI spent about a decade running corporate development for a PE-backed home-services aggregator, roughly thirty-six acquisitions led or co-led in the course of that employment, and a decade before that at a global investment bank.\n\nThe pattern I keep seeing on the sponsor side: the capital question gets answered long before the sourcing question does. A sponsor can tell a seller where the money comes from well before they can show anyone a repeatable pipeline.\n\nI've been building metro-level registers for the DFW trades — fire and life safety, HVAC, commercial MEP — that map every remaining independent against who already owns what. Census-anchored, brand-level, not vendor estimates.\n\nHappy to send the fire and life safety one over if it would be useful to anyone in your network. No ask attached.","Offer the map. No meeting request on first touch.","Buy-side only. No fees or pricing. No representation, negotiation, or guarantee language. Soft close, no scarcity or exclusivity. Track record framed as transactions led or co-led in the course of employment. Capability demonstrated, not claimed."
"T2","CAPITAL_DEBT","LinkedIn DM / email","LMM lender, BDC, SBIC — referral relationship","{vertical} in DFW — a register you may find useful","{first_name} — I noticed {specific_deal_reference}. That's a harder underwrite than most people credit, and it's the part of the market I work in.\n\nBackground: about ten years running corporate development and M&A integration for a PE-backed home-services aggregator, and a decade at a global investment bank before that. Buy-side only now — I help acquirers find and work targets, which means I'm on the same side of the table as your borrowers rather than across from anyone.\n\nI maintain metro-level consolidator registers for the DFW trades. The useful part isn't the target list, it's the read: what any announced deal means for every remaining independent in the metro.\n\nIf that's ever useful context on a credit, I'm glad to share it. And if you run across a borrower who has the capital lined up but not the pipeline, I'd welcome the introduction.","Offer context and invite referrals. No pitch.","Buy-side only. No fees or pricing. No representation, negotiation, or guarantee language. Soft close, no scarcity or exclusivity. Track record framed as transactions led or co-led in the course of employment. Capability demonstrated, not claimed."
"T3","OPERATOR_ACQUIRER","LinkedIn DM","Operator-acquirer / platform CEO — direct client","{metro} {vertical} — what's left independent","{first_name} — congratulations on {specific_deal}. {one_line_specific_observation}\n\nI ran corporate development and M&A integration for a PE-backed home-services aggregator for about ten years, roughly thirty-six acquisitions led or co-led over that stretch, and spent a decade at a global investment bank before that. I work buy-side only now.\n\nI've built a brand-level register of the DFW {vertical} market — every operator, matched against who already owns what, so 'independent' means confirmed independent rather than simply unmatched. It changes which doors are actually worth knocking on.\n\nIf it would be useful, I'm glad to walk you through what the map shows for your footprint. No obligation either way.","Offer to walk through the map. Soft close.","Buy-side only. No fees or pricing. No representation, negotiation, or guarantee language. Soft close, no scarcity or exclusivity. Track record framed as transactions led or co-led in the course of employment. Capability demonstrated, not claimed."
"T4","IND_SPONSOR","LinkedIn DM","Independent sponsor — direct client","Sourcing bandwidth between deals","{first_name} — {specific_reference_to_their_deal_or_talk}.\n\nI run a buy-side-only corporate development practice in DFW. Before that: about a decade as Director of Corporate Development and M&A Integration at a PE-backed home-services aggregator, and a decade at a global investment bank.\n\nThe independent sponsor structure creates a specific squeeze — the economics only work if you find the deal, but there's no management fee funding a full-time origination function while you're finding it. I work on retainer to fill exactly that gap: thesis, market map, proprietary target identification, owner outreach, diligence coordination.\n\nAre you going to be at the McGuireWoods conference at the Fairmont in October? Happy to find twenty minutes there if it's useful, or a call before if that's easier.","Propose a specific meeting at a specific event.","Buy-side only. No fees or pricing. No representation, negotiation, or guarantee language. Soft close, no scarcity or exclusivity. Track record framed as transactions led or co-led in the course of employment. Capability demonstrated, not claimed."
"T5","FAMILY_OFFICE","Warm intro preferred, else LinkedIn DM","Family office direct-investment principal — direct client","{vertical} in DFW","{first_name} — {specific_reference_to_their_platform_or_deal}.\n\nI run a buy-side-only corporate development practice here in DFW. Ten years leading corporate development and M&A integration at a PE-backed home-services aggregator, ten before that at a global investment bank.\n\nMost family offices I talk to are structured to evaluate a deal well and to source one only occasionally — the cadence doesn't justify a permanent origination function, but the deals still have to come from somewhere.\n\nI've built a Census-anchored, brand-level register of the DFW {vertical} market. If it's useful I'll send it over, and if it isn't, no harm in the asking.","Offer the map; soft close.","Buy-side only. No fees or pricing. No representation, negotiation, or guarantee language. Soft close, no scarcity or exclusivity. Track record framed as transactions led or co-led in the course of employment. Capability demonstrated, not claimed."
"T6","REFERRAL_LEGAL / REFERRAL_ACCOUNTING","LinkedIn DM","M&A attorney, QofE, transaction advisory — referral relationship","Buy-side corp dev in DFW — introduction","{first_name} — I wanted to introduce myself properly rather than the other way around.\n\nI run a buy-side-only corporate development practice in DFW. Previously about ten years as Director of Corporate Development and M&A Integration at a PE-backed home-services aggregator, and a decade at a global investment bank.\n\nBuy-side only matters here: I don't run processes and I don't represent sellers, so I'm never across the table from your clients or competing for your mandate. What I do is the work before the deal exists — thesis, market mapping, proprietary sourcing, owner outreach.\n\nYou almost certainly meet acquirers who have capital and a thesis and no pipeline. If that ever comes up, I'd be glad to be a name you can pass along. And I'd like to be able to do the same for you.","Mutual referral framing. No ask beyond acquaintance.","Buy-side only. No fees or pricing. No representation, negotiation, or guarantee language. Soft close, no scarcity or exclusivity. Track record framed as transactions led or co-led in the course of employment. Capability demonstrated, not claimed. Never accept or solicit sell-side referrals."
"T7","ASSOCIATION","Email / LinkedIn","ACG DFW board and committee — association relationship","New ACG DFW member — buy-side corp dev practice","{first_name} — I've just joined ACG DFW and wanted to introduce myself.\n\nI run a buy-side-only corporate development practice here in the metroplex. Background is about ten years leading corporate development and M&A integration at a PE-backed home-services aggregator and a decade at a global investment bank before that.\n\n{committee_specific_line}\n\nI'll be at DealSource on September 3rd. If you have time for a coffee before or after, I'd enjoy it.","Coffee at or around the event.","Buy-side only. No fees or pricing. No representation, negotiation, or guarantee language. Soft close, no scarcity or exclusivity. Track record framed as transactions led or co-led in the course of employment. Capability demonstrated, not claimed."
"T8","ALL","LinkedIn DM / email","Pre-conference meeting request","{event_name} — 20 minutes?","{first_name} — I saw you'll be at {event_name} on {event_dates}.\n\nI run a buy-side-only corporate development practice in DFW — {one_line_credential}. I've been building brand-level consolidator registers for the DFW trades, and {specific_reason_relevant_to_them}.\n\nWould twenty minutes at the {venue} work? I'm happy to work around whatever your schedule already looks like.","Specific, small, time-bound ask.","Buy-side only. No fees or pricing. No representation, negotiation, or guarantee language. Soft close, no scarcity or exclusivity. Track record framed as transactions led or co-led in the course of employment. Capability demonstrated, not claimed."
"T9","CAPITAL_SBA","LinkedIn / firm contact","SBA lender business development officer — referral relationship","Buyers who have the financing and not the target","{first_name} — you see a side of this market I find genuinely interesting: buyers who get financeable before they get to a target.\n\nI run a buy-side-only corporate development practice in DFW, focused on the trades — HVAC, plumbing, electrical, fire and life safety. Ten years running corp dev at a PE-backed home-services aggregator before this.\n\nThe equity injection and standby rules that came in with SOP 50 10 8 last year narrowed which deals actually pencil. That makes target selection matter more than it used to, not less.\n\nIf you ever have a borrower who is approved and still hunting, I'd welcome the introduction — and I'm glad to share the DFW register with you either way.","Invite referrals; offer the register.","Buy-side only. No fees or pricing. No representation, negotiation, or guarantee language. Soft close, no scarcity or exclusivity. Track record framed as transactions led or co-led in the course of employment. Capability demonstrated, not claimed."
"T10","ALL","LinkedIn / email","Post-event follow-up within 72 hours","Following up from {event_name}","{first_name} — good to meet you at {event_name}. {specific_callback_to_the_conversation}\n\nYou mentioned {their_specific_point}. I pulled the relevant section of the DFW {vertical} register — attaching it here in case it's useful.\n\nIf it's worth a longer conversation I'm around most of {timeframe}. And if the timing isn't right, no problem at all.","Deliver something concrete, then soft close.","Buy-side only. No fees or pricing. No representation, negotiation, or guarantee language. Soft close, no scarcity or exclusivity. Track record framed as transactions led or co-led in the course of employment. Capability demonstrated, not claimed. Must reference a real detail from the actual conversation."
