"step_id","wave_id","week_of","action","channel","target_records","template_id","objective","owner","success_metric","notes"
"S-001","W0","2026-08-05","Register and pay for ACG DFW DealSource (Sept 3) and McGuireWoods Independent Sponsor Conference (Oct 27-28, Fairmont Dallas)","Web","EVT-001, EVT-002","","Lock the two hard deadlines. McGuireWoods sponsorships sold out early last cycle; attendee registration should not be assumed open indefinitely.","Paul","Both confirmations in inbox","Do this first. Everything downstream is sequenced against these dates."
"S-002","W0","2026-08-05","Join ACG DFW — contact Membership Chair","Email","REF-015","T7","Enter the network as a member before messaging any board member.","Paul","Membership active","Messaging the ACG board as a non-member wastes the first impression."
"S-003","W0","2026-08-10","Inquire about ACG DFW Family Office Committee participation","LinkedIn + email","REF-002","T7","Open the only reliable route into the DFW family office tier.","Paul","Committee conversation scheduled","Unlocks FO-001, FO-006, FO-007, FO-012 later. Highest-leverage single move in the plan."
"S-004","W0","2026-08-10","Finish the Fire & Life Safety DFW market map to IC-ready standard","Internal","","","The map is the door-opener. No outreach in W1 should go out without it ready to send.","Paul / CC","FLS DFW map complete and reviewed","HARD DEPENDENCY for W1. Bring a deal, not a pitch — the map is the deal-shaped object."
"S-005","W0","2026-08-10","Complete the brand/DBA pass on consolidators.md","Internal","","","Convert 'unmatched' to 'confirmed independent' so any board claim is defensible.","Paul / CC","Register carries brand-level coverage, not just parent-level","Until this is done, 'independent' means 'unmatched to a known acquirer' — not a claim that survives scrutiny in a first meeting."
"S-006","W1","2026-08-17","Message Align Collaborate — Grant Kornman first, Michael 3 days later if no reply","LinkedIn DM then email","CAP-001, CAP-002","T1","Open the highest-value referral node. Offer the FLS DFW map with no ask attached.","Paul","Reply or meeting booked","One firm, two partners. Stagger — do not message both in the same week."
"S-007","W1","2026-08-17","Email Curtis Hartman at Genesis Park / GP Capital","Email (published address)","CAP-003","T2","They name residential services in their own mandate. Lead with the home-services register.","Paul","Reply or call booked","Published email and phone — one of only two contacts with direct coordinates."
"S-008","W1","2026-08-24","Email Josh Weinstein at Capital Southwest","Email (published address)","CAP-004","T2","Dallas BDC; pure referral framing, no pitch.","Paul","Reply","Do not contact Bowen Diehl in parallel — same account."
"S-009","W1","2026-08-24","Message David Magdol at Main Street Capital referencing the Batjer HVAC/plumbing deal","LinkedIn DM","CAP-006","T2","Strongest documented Texas trade-lending record; a specific deal reference proves the homework.","Paul","Reply",""
"S-010","W1","2026-08-31","Message ACG DFW board — Riemer, Cone, Wendler — to set up DealSource meetings","LinkedIn DM","REF-001, REF-003, REF-004","T7","Arrive at DealSource with a schedule instead of a badge.","Paul","3+ meetings pre-booked for Sept 3","Message as a member. Buy-side-only framing is essential with REF-003 and REF-004 — they are sell-side counterparties and therefore customers, never competitors."
"S-011","W2","2026-09-03","Work ACG DFW DealSource in person","In person","REF-001 through REF-015","T8","Convert the pre-booked meetings and work the room for the family office and sponsor membership.","Paul","12+ conversations; notes logged same day","Log every conversation into the CRM within 24 hours while names and context are fresh."
"S-012","W2","2026-09-07","DealSource follow-up — every conversation, within 72 hours","LinkedIn + email","All W2 contacts met","T10","Follow-up speed is the entire return on the conference fee.","Paul","100% follow-up rate within 72 hours",""
"S-013","W2","2026-09-07","Message Tier A DFW operator-acquirers: Udeh, Adams, Howard, Sechelski","LinkedIn DM","OPR-001, OPR-002, OPR-003, OPR-004","T3","Direct client conversion. Each has capital and no internal sourcing function.","Paul","2+ discovery calls booked","Congratulate Sechelski on his close with no pitch attached — first touch is relationship only."
"S-014","W2","2026-09-14","Message Tier A family offices: Surge PE and Rosewood (Rosewood via warm intro if available)","Warm intro preferred, else LinkedIn","FO-004, FO-001","T5","Rosewood built and exited a fire & life safety platform — the FLS map is purpose-built for this conversation.","Paul","1+ meeting booked","If the Family Office Committee route is live, use it for FO-001 rather than a cold DM."
"S-015","W2","2026-09-21","Message National Fire & Safety (Gannon) with the FLS DFW map","LinkedIn DM","OPR-009","T3","They have already bought twice in DFW fire & life safety. Highest single vertical match on the board.","Paul","Reply",""
"S-016","W2","2026-09-21","Open QofE / transaction advisory referral relationships","LinkedIn DM","REF-016, REF-017","T6","Buy-side QofE providers are structurally aligned and meet buyers who need targets.","Paul","2 conversations","Cherry Bekaert's no-success-fee buy-side QofE mirrors THE LINE — lead with that alignment."
"S-017","W3","2026-10-01","Mine the McGuireWoods 2026 speaker roster the moment it publishes; add every relevant name","Web research","RQ-013","","Prior-year speakers are already on the board; current-year speakers are the highest-yield addition available.","Paul / CC","Roster mined within 48 hours of publication; 20+ names added","Monitor weekly from early September. This is the single largest planned expansion of the list."
"S-018","W3","2026-10-05","Message independent sponsors ahead of the conference","LinkedIn DM","IS-001 through IS-004, IS-010","T4","Turn October 27-28 into second conversations rather than introductions.","Paul","8 pre-conference meetings scheduled","Explicitly propose meeting at the Fairmont — a specific ask converts better than an open one."
"S-019","W3","2026-10-12","Message remaining capital partners: Peninsula, Plexus, CapitalPad, HighVista","LinkedIn DM","CAP-009, CAP-010, CAP-015, CAP-016","T1","Broaden the referral layer beyond Texas.","Paul","2 replies","CAP-010 and CAP-015 require name resolution first."
"S-020","W3","2026-10-19","Send pre-conference meeting requests to every McGuireWoods attendee identified","LinkedIn DM + email","All W3/W4 sponsor records","T8","Fill the calendar before arriving.","Paul","10+ confirmed meeting slots",""
"S-021","W4","2026-10-27","Execute McGuireWoods Independent Sponsor Conference, Fairmont Dallas","In person","All independent sponsor and capital records","T8","This is the highest-density concentration of the target segment available all year, and it is local.","Paul","25+ conversations; every one logged same day","Prior cycle drew 1,600+ attendees and 9,000+ speed-networking meetings. Prepare a specific ask for each pre-booked meeting."
"S-022","W4","2026-11-02","McGuireWoods follow-up — every conversation within 72 hours","LinkedIn + email","All W4 contacts met","T10","Convert conference familiarity into scheduled calls before it decays.","Paul","100% follow-up; 8 calls booked",""
"S-023","W4","2026-11-09","Work Tier B family offices and LMM PE","LinkedIn DM","FO-005 through FO-013, PE-001, PE-002, PE-003","T5","Second-tier conversion while the conference is still a usable reference.","Paul","6 conversations","Several require name resolution first — see the research queue."
"S-024","W4","2026-11-16","Open the SBA lender referral channel","LinkedIn / firm contact","SBA-001, SBA-003","T9","SBA lenders see the operator-acquirer flow at the sub-$5M-loan end, which tightened materially under SOP 50 10 8.","Paul","2 conversations","Gulf Coast SBA is the only DFW-headquartered SBA lender identified — prioritize it."
"S-025","W5","2026-11-23","Request warm family office introductions through the ACG DFW Family Office Committee","Warm intro","FO-001, FO-006, FO-007, FO-012","T12","Family offices are opaque by design; a committee introduction outperforms any cold approach.","Paul","4 introductions requested, 2 made","Depends entirely on the REF-002 relationship established in W0."
"S-026","W5","2026-11-30","Resolve the research queue — convert firm-level records into named contacts","Web research","All RQ records","","Roughly a third of the board is firm-verified but person-unnamed. Every resolution is a new usable target.","Paul / CC","15+ names resolved and moved into the active contact table","Prioritize RQ-001 (Lynch Holdings, fire protection), RQ-002 (Monroe originations), RQ-004 (Gulf Coast SBA DFW)."
"S-027","ONGOING","CONTINUOUS","Log every DFW acquisition by an ECOSYSTEM_DO_NOT_PITCH party into the consolidator register within 7 days","Internal","ECO-001 through ECO-011","","The consolidator register read is the practice's unique insight advantage — what any announced deal means for every remaining independent in the metro.","Paul / CC","Register current within 7 days of any announcement","This feeds both LinkedIn news-commentary posts and the outbound hooks in this plan."
