"rank","score","tier","firm","account_type","buyer_moment_DERIVED","lead_with","contact_name","contact_title","linkedin_action","linkedin_query","texas","verticals_active","website","source_url","org_id","score_detail","notes","flag"
"1","73","B","Green Heron Partners","P3_INDEPENDENT_SPONSOR","unknown","conviction","Houston Johnson","Managing Partner","Connect with Houston Johnson, Managing Partner","Lead search: ""Houston Johnson"" · Current company = ""Green Heron Partners""","yes","commercial_plumbing|facilities_services","greenheronpartners.com","https://www.prnewswire.com/news-releases/green-heron-partners-announces-strategic-investment-in-regency-plumbing-contractors-302694264.html","ORG-104","need 8 (unknown) · lane 25 (dfw yes, trade match) · reach 15 · structure 10 (independent_sponsor) · activity 15 (5mo since last evidenced deal)","[2026-08-18 client-register-v1 / P3-019] Confirmed fundless (Aviara placement agent). Regency Plumbing (Houston) Feb 2026.",""
"2","66","B","AE Industrial Partners","P1_PE","unknown","conviction","Bryan McElwee","Partner","Connect with Bryan McElwee, Partner","Lead search: ""Bryan McElwee"" · Current company = ""AE Industrial Partners""","yes","fire_life_safety|commercial_hvac|commercial_mep","aeroequity.com","https://www.businesswire.com/news/home/20260120089736/en/","ORG-082","need 8 (unknown) · lane 25 (dfw yes, trade match) · reach 15 · structure 3 (pe_fund) · activity 15 (6mo since last evidenced deal)","[2026-08-18 client-register-v1 / P1-001] United Building Solutions (DFW Mechanical, Wylie TX, Jan 2026); Altus Fire and Life Safety.",""
"3","66","B","Sunny River Management (SRM Equity Partners)","P2_FAMILY_OFFICE","unknown","conviction","John Cote","Managing Partner","Connect with John Cote, Managing Partner","Lead search: ""John Cote"" · Current company = ""Sunny River Management (SRM Equity Partners)""","yes","fire_life_safety|commercial_hvac","sunnyrivermanagement.com","https://firesp.com/news/fire-safety-protection-acquires-livingston-fire-protection-inc/","ORG-100","need 8 (unknown) · lane 25 (dfw yes, trade match) · reach 15 · structure 10 (family_office) · activity 8 (19mo since last evidenced deal)","[2026-08-18 client-register-v1 / P2-036] Private family investment firm. Built Fire Safety & Protection (FSP), 8+ acquisitions. Also Palmetto Air & Water Balance (Abilene/Fort Worth/Lubbock).",""
"4","65","B","Tecta America","P4_PLATFORM","unknown","conviction","Dave Reginelli","CEO","Connect with Dave Reginelli, CEO","Lead search: ""Dave Reginelli"" · Current company = ""Tecta America""","yes","roofing","tectaamerica.com","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","ORG-121","need 8 (unknown) · lane 25 (dfw yes, trade match) · reach 15 · structure 5 (platform) · activity 12 (8mo since last evidenced deal)","[2026-08-18 client-register-v1 / P4-059] Largest PE-backed commercial roofing platform, 100+ locations. Texas Roofing (Round Rock) Dec 2025, 6th add-on of 2025.",""
"5","63","B","Bright Equities","Single family office","thesis_no_flow","origination","Paul Thibodeaux","President & Managing Director","Connect with Paul Thibodeaux, President & Managing Director","Lead search: ""Paul Thibodeaux"" · Current company = ""Bright Equities""","unknown","","brightequities.com","https://brightequities.com/","ORG-004","need 35 (thesis_no_flow) · lane 3 (dfw unknown, trade miss) · reach 15 · structure 10 (family_office) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","Flagged low confidence in research pass 2 — verify they actually deploy into acquisitions.",""
"6","63","B","Platte River Equity","P1_PE","unknown","conviction","Mark Brown","Managing Director","Connect with Mark Brown, Managing Director","Lead search: ""Mark Brown"" · Current company = ""Platte River Equity""","yes","building_automation|commercial_electrical|utility_services","platteriverequity.com","https://platteriverequity.com/platte-river-equity-announces-the-acquisition-of-building-controls-solutions/","ORG-094","need 8 (unknown) · lane 25 (dfw yes, trade match) · reach 15 · structure 3 (pe_fund) · activity 12 (7mo since last evidenced deal)","[2026-08-18 client-register-v1 / P1-048] Building Controls & Solutions (Dallas); Team UIS (Jan 2026).",""
"7","63","B","United Building Solutions","P4_PLATFORM","unknown","conviction","David Leathers","CEO","Connect with David Leathers, CEO","Lead search: ""David Leathers"" · Current company = ""United Building Solutions""","yes","commercial_hvac|commercial_mep","","https://www.businesswire.com/news/home/20260120089736/en/","ORG-123","need 8 (unknown) · lane 25 (dfw yes, trade match) · reach 10 · structure 5 (platform) · activity 15 (6mo since last evidenced deal)","[2026-08-18 client-register-v1 / P4-064] DFW Mechanical Group (Wylie, TX) Jan 2026 - 2nd add-on since Feb 2025. DFW President: Brett Thomas. Domain not verified.","no domain on file"
"8","59","B","The Sterling Group","P1_PE","unknown","conviction","Greg Elliott","Partner","Connect with Greg Elliott, Partner","Lead search: ""Greg Elliott"" · Current company = ""The Sterling Group""","yes","commercial_mep|residential_plumbing|residential_electrical","sterling-group.com","https://sterling-group.com/","ORG-096","need 8 (unknown) · lane 25 (dfw yes, trade match) · reach 15 · structure 3 (pe_fund) · activity 8 (21mo since last evidenced deal)","[2026-08-18 client-register-v1 / P1-057] L&S Mechanical (Richardson, TX), residential tri-trade MEP new construction, held in Fund IV. QECC add-on Nov 2024.",""
"9","58","B","BASE Equity Partners","Independent sponsor","thesis_no_flow","origination","Benjamin G. Schneider","Founder","Connect with Benjamin G. Schneider, Founder","Lead search: ""Benjamin G. Schneider"" · Current company = ""BASE Equity Partners""","unknown","","","https://www.iglobalforum.com/","ORG-057","need 35 (thesis_no_flow) · lane 3 (dfw unknown, trade miss) · reach 10 · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","","no domain on file"
"10","58","B","Cascadily LLC","Independent sponsor","thesis_no_flow","origination","Josh Susser","Managing Member","Connect with Josh Susser, Managing Member","Lead search: ""Josh Susser"" · Current company = ""Cascadily LLC""","unknown","","","https://www.iglobalforum.com/","ORG-063","need 35 (thesis_no_flow) · lane 3 (dfw unknown, trade miss) · reach 10 · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","Included for completeness only.","no domain on file"
"11","58","B","FirstCall Mechanical Group","P4_PLATFORM","unknown","conviction","Evan Eachus","Chief Executive Officer","Connect with Evan Eachus, Chief Executive Officer","Lead search: ""Evan Eachus"" · Current company = ""FirstCall Mechanical Group""","yes","commercial_hvac|commercial_mep|building_automation|commercial_electrical","firstcallmechanical.com","https://www.achrnews.com/articles/152616-skyknight-capital-launches-firstcall-mechanical-group-with-three-acquisitions","ORG-027","need 8 (unknown) · lane 25 (dfw yes, trade match) · reach 15 · structure 5 (platform) · activity 5 (no dated deal evidence)","Commercial MEP fit; Austin not DFW. | prior source_url (2026-08-18): https://www.businesswire.com/ | [2026-08-18 client-register-v1 / P4-021] LC Anderson (Aug 2025); CLS Facility Services. Texas HQ.",""
