"queue_id","priority","firm","what_is_needed","why_it_matters","linked_record","suggested_source","owner","status"
"RQ-001","1","Lynch Holdings","Name the direct-investment principal","One of only two entities on the board with an explicit fire-protection mandate — the exact beachhead vertical.","FO-012","Firm website; SEC Form ADV; ACG DFW Family Office Committee","Paul / CC","OPEN"
"RQ-002","1","Monroe Capital","Name the originations MD covering business and industrial services","Only lender identified with documented fire & life safety lending (Nelbud/360 Services).","CAP-011","monroecap.com team page; deal press releases","Paul / CC","OPEN"
"RQ-003","1","Plexus Capital","Name the originations lead","Named HVAC home-services portfolio (Century Mechanical) and explicitly backs independent sponsors.","CAP-010","plexuscap.com team page","Paul / CC","OPEN"
"RQ-004","1","Gulf Coast Small Business Lending","Name a DFW business development officer","Only DFW-headquartered SBA lender identified; direct line to local operator-acquirers.","SBA-003","gulfcoastsba.com","Paul / CC","OPEN"
"RQ-005","2","Helium Capital","Name the managing partner","Houston-based; MRO and industrial field services is the closest cousin to commercial MEP and FLS.","IS-010","Firm website; Axial","Paul / CC","OPEN"
"RQ-006","2","UrbanBuild (Bauer Investments)","Confirm the Services Division CEO","Standing up a new multi-trade services division — greenfield sourcing need. Prior identification was low-medium confidence from a single paywalled source.","OPR-008","Firm website; deal press","Paul / CC","OPEN — DO NOT MESSAGE UNTIL RESOLVED"
"RQ-007","2","CapitalPad","Name a principal","High-throughput sponsor co-investment node; charges sponsors no fees.","CAP-015","capitalpad.com","Paul / CC","OPEN"
"RQ-008","2","Sky Island Capital / Palo Duro Capital / Dauntless Capital Partners","Name founders and partners; confirm absence of a dedicated BD hire","The BD-hire check is the qualifying filter — firms with an origination function move to referral, not client.","PE-001, PE-002, PE-003","Firm team pages","Paul / CC","OPEN"
"RQ-009","2","Braes Bayou Company; AEC Equities","Name founders","Texas independent sponsors with services and infrastructure theses.","IS-011, IS-012","Firm websites; Axial","Paul / CC","OPEN"
"RQ-010","3","Gupta Capital Group","Name the direct-investment principal","Dallas industrial control buyouts; adjacent fit.","FO-013","guptacapitalgroup.com","Paul / CC","OPEN"
"RQ-011","3","Peregrine Investments; Patterson Thoma; Copper Beech Capital; Sowell & Co.; Petrus Asset Management; TRT Holdings; Leon Capital Group; Richmont Capital Partners; Tailwind Advisors; CH Investment Partners / Cresset","Identify the direct-investment lead at each","The DFW family office long tail. Opaque by design — Form ADV and deal press are the routes in.","","SEC Form ADV; deal press; ACG DFW Family Office Committee","Paul / CC","OPEN"
"RQ-012","3","Whitley Penn","Name the transaction advisory practice lead (not the CEO)","Fort Worth network is distinct from Dallas; CEO is the wrong entry point for a referral relationship.","REF-019","whitleypenn.com","Paul / CC","OPEN"
"RQ-013","1","McGuireWoods Independent Sponsor Conference 2026","Full speaker and sponsor roster","Registration-gated and not yet public. Prior-year speakers are already on this board; the current roster is the single largest planned expansion of the target list.","EVT-002","Conference site; monitor weekly from September","Paul / CC","OPEN — MONITOR WEEKLY"
"RQ-014","2","Bright Equities","Verify the entity actually deploys into acquisitions (overlaps with Bright Wealth Management, an RIA)","Two Tier A contacts hang on an unverified mandate. Confirm before investing in a tailored map.","FO-002, FO-003","Direct conversation; SEC Form ADV","Paul","OPEN"
"RQ-015","3","Strait Lane Capital Partners; Gittemeier Ventures; Centerfield","Confirm titles and identities flagged as inferred or aggregator-sourced","Getting a name or title wrong in a first message is unrecoverable.","FO-010, FO-011, IS-006","Firm websites","Paul / CC","OPEN"
