"account_name","account_type","hq_city","hq_state","website_domain","fund_or_aum","verticals_active","states_active","platform_count","texas_exposure","sponsor_parent","trigger_type","trigger_date","trigger_source_url","contact_name","contact_title","verification","primary_source_url","last_checked","notes","tier","stage","source_key","register_match","held_reason","promoted_on"
"Agellus Capital","P1_PE","St. Louis","MO","","","fire_life_safety","TX","1","yes","","T3","2025-02-26","https://www.privsource.com/","","","DISCOVERY","https://www.privsource.com/","2026-08-17","Bluejack Fire & Life Safety, HQ Houston TX. Platform formed Feb 2025; Orcus add-on Mar 2025. Newer platform - higher likely origination need.","2","Not reviewed","P1-002","","DISCOVERY — not primary-source verified",""
"Altas Partners","P1_PE","Toronto","","altas.com","","residential_hvac|roofing|fire_life_safety","","3","unknown","","T3","2025-05-08","","","","DISCOVERY","https://ctacquisitions.com/guides/private-equity-hvac-2026/","2026-08-17","Canada-HQ, US-active. Redwood (~$1.1B), Tecta America, co-owns Pye-Barker. hq_state blank: non-US.","3","Not reviewed","P1-005","","DISCOVERY — not primary-source verified",""
"Apax Partners","P1_PE","New York","NY","apax.com","","residential_hvac|residential_plumbing|fire_life_safety","","1","unknown","","NONE","","","","","DISCOVERY","https://ctacquisitions.com/guides/private-equity-hvac-2026/","2026-08-17","Owns Authority Brands (home-services franchisor), acquired 2018.","3","Not reviewed","P1-006","","DISCOVERY — not primary-source verified",""
"Apollo Global Management","P1_PE","New York","NY","apollo.com","","residential_hvac|residential_plumbing|residential_electrical","","1","unknown","","T3","2026-05-28","https://profitabilitypartners.io/home-services-private-equity-acquirers/","","","DISCOVERY","https://profitabilitypartners.io/home-services-private-equity-acquirers/","2026-08-17","CONFLICT: Apollo release (2026-05-28) states minority interest in Apex alongside Alpine, $10B valuation; some 2025 trade press dated deal earlier. Both carried.","3","Not reviewed","P1-007","","DISCOVERY — not primary-source verified",""
"Ardian","P1_PE","New York","NY","ardian.com","","commercial_hvac","TX","1","yes","","T3","2026-01-31","https://www.privsource.com/","","","DISCOVERY","https://www.privsource.com/","2026-08-17","Impact Climate Technologies platform; Larry Wunsch & Associates (San Antonio) add-on Jan 2026.","3","Not reviewed","P1-008","","DISCOVERY — not primary-source verified",""
"Audax Private Equity","P1_PE","Boston","MA","","","roofing","","1","unknown","","NONE","","","","","DISCOVERY","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","2026-08-17","Backs CentiMark (commercial roofing). Domain left blank - not verified.","3","Not reviewed","P1-009","","DISCOVERY — not primary-source verified",""
"Bain Capital","P1_PE","Boston","MA","baincapital.com","","commercial_hvac|commercial_mep|building_automation|roofing","","1","unknown","","T3","2025-12-16","https://ctacquisitions.com/guides/private-equity-hvac-2026/","","","DISCOVERY","https://ctacquisitions.com/guides/private-equity-hvac-2026/","2026-08-17","Acquired Service Logic with Mubadala from Leonard Green.","3","Not reviewed","P1-010","","DISCOVERY — not primary-source verified",""
"BDT & MSD Partners","P1_PE","Chicago","IL","bdtmsd.com","","fire_life_safety","MN","1","unknown","","T3","2025-08-01","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","","","DISCOVERY","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","2026-08-17","Acquired Summit Companies from BlackRock LTPC Aug 2025.","3","Not reviewed","P1-011","","DISCOVERY — not primary-source verified",""
"Berkshire Partners","P1_PE","Boston","MA","berkshirepartners.com","","fire_life_safety","","1","unknown","","NONE","","","","","DISCOVERY","https://ctacquisitions.com/guides/private-equity-platforms-by-sector-2026/","2026-08-17","CONFLICT: named as Encore Fire owner by one source, Permira by another. Both carried.","3","Not reviewed","P1-012","","DISCOVERY — not primary-source verified",""
"Blackstone","P1_PE","New York","NY","blackstone.com","","residential_hvac|residential_plumbing|fire_life_safety","","2","unknown","","T3","2026-02-17","https://ctacquisitions.com/guides/private-equity-hvac-2026/","","","DISCOVERY","https://ctacquisitions.com/guides/private-equity-hvac-2026/","2026-08-17","Champions Group via BXPE (~$2.5B/~18.5x); AI Fire acquired Feb 2025.","3","Not reviewed","P1-014","","DISCOVERY — not primary-source verified",""
