"queue_id","kind","reason","candidate_firm","candidate_domain","candidate_source_key","candidate_verification","register_org_id","register_firm","register_domain","match_tier","conflict_fields","confidence_note","decision","decided_by","decided_on"
"RQ-001","AMBIGUOUS","alias","Altas Partners","altas.com","P1-005","DISCOVERY","ORG-076","Redwood Services (Altas Partners)","","alias","ENTITY: sponsor vs platform","the parenthetical on the register row is that platform's SPONSOR, not another name for it — these are two different entities","","",""
"RQ-002","AMBIGUOUS","alias","Gridiron Capital","gridironcapital.com","P1-024","DISCOVERY","ORG-072","Legacy Service Partners (Gridiron Capital)","","alias","ENTITY: sponsor vs platform","the parenthetical on the register row is that platform's SPONSOR, not another name for it — these are two different entities","","",""
"RQ-003","AMBIGUOUS","alias","Highview Capital","highviewcapital.com","P1-029","VERIFIED","ORG-039","National Fire & Safety (Highview Capital)","","alias","ENTITY: sponsor vs platform","the parenthetical on the register row is that platform's SPONSOR, not another name for it — these are two different entities","","",""
"RQ-004","MATCHED","name-only","OMERS Private Equity","omers.com","P1-042","DISCOVERY","ORG-073","OMERS Private Equity","","name-only","tier:C(A/B/C)->3(1/2/3) SCALE COLLISION","register row exists; merge under COLUMNS.md §6 (notes append, org_id keeps, tier existing wins)","","",""
"RQ-005","MATCHED","name-only","SkyKnight Capital","skyknightcapital.com","P1-052","VERIFIED","ORG-077","SkyKnight Capital","","name-only","tier:C(A/B/C)->3(1/2/3) SCALE COLLISION","register row exists; merge under COLUMNS.md §6 (notes append, org_id keeps, tier existing wins)","","",""
"RQ-006","MATCHED","name-only","Trinity Hunt Partners","trinityhunt.com","P1-058","VERIFIED","ORG-081","Trinity Hunt Partners","","name-only","tier:C(A/B/C)->2(1/2/3) SCALE COLLISION","register row exists; merge under COLUMNS.md §6 (notes append, org_id keeps, tier existing wins)","","",""
"RQ-007","MATCHED","name-only","Rosewood Private Investments","","P2-032","DISCOVERY","ORG-012","Rosewood Private Investments","rosewoodpi.com","name-only","tier:A(A/B/C)->3(1/2/3) SCALE COLLISION","register row exists; merge under COLUMNS.md §6 (notes append, org_id keeps, tier existing wins)","","",""
"RQ-008","MATCHED","domain+name","Align Collaborate","aligncollaborate.com","P3-001","VERIFIED","ORG-002","Align Collaborate","aligncollaborate.com","domain+name","tier:A(A/B/C)->2(1/2/3) SCALE COLLISION","register row exists; merge under COLUMNS.md §6 (notes append, org_id keeps, tier existing wins)","","",""
"RQ-009","MATCHED","name-only","Apex Service Partners","apexservicepartners.com","P4-005","DISCOVERY","ORG-056","Apex Service Partners (Alpine/Partners Group/Apollo)","","name-only","tier:C(A/B/C)->3(1/2/3) SCALE COLLISION","register row exists; merge under COLUMNS.md §6 (notes append, org_id keeps, tier existing wins)","","",""
"RQ-010","MATCHED","name-only","FirstCall Mechanical Group","firstcallmechanical.com","P4-021","VERIFIED","ORG-027","FirstCall Mechanical Group","","name-only","tier:B(A/B/C)->1(1/2/3) SCALE COLLISION","register row exists; merge under COLUMNS.md §6 (notes append, org_id keeps, tier existing wins)","","",""
"RQ-011","MATCHED","name-only","Legacy Service Partners","legacyservicepartners.com","P4-030","DISCOVERY","ORG-072","Legacy Service Partners (Gridiron Capital)","","name-only","tier:C(A/B/C)->3(1/2/3) SCALE COLLISION","register row exists; merge under COLUMNS.md §6 (notes append, org_id keeps, tier existing wins)","","",""
"RQ-012","MATCHED","name-only","National Fire & Safety","","P4-035","VERIFIED","ORG-039","National Fire & Safety (Highview Capital)","","name-only","tier:B(A/B/C)->2(1/2/3) SCALE COLLISION","register row exists; merge under COLUMNS.md §6 (notes append, org_id keeps, tier existing wins)","","",""
"RQ-013","MATCHED","name-only","Pueblo Mechanical & Controls","pueblomech.com","P4-044","DISCOVERY","ORG-075","Pueblo Mechanical & Controls (OMERS)","","name-only","tier:C(A/B/C)->3(1/2/3) SCALE COLLISION","register row exists; merge under COLUMNS.md §6 (notes append, org_id keeps, tier existing wins)","","",""
"RQ-014","MATCHED","name-only","Redwood Services","redwoodservices.com","P4-048","DISCOVERY","ORG-076","Redwood Services (Altas Partners)","","name-only","tier:C(A/B/C)->2(1/2/3) SCALE COLLISION","register row exists; merge under COLUMNS.md §6 (notes append, org_id keeps, tier existing wins)","","",""
"RQ-015","MATCHED","name-only","CapitalPad","capitalpad.com","P5-003","VERIFIED","ORG-022","CapitalPad","","name-only","tier:B(A/B/C)->3(1/2/3) SCALE COLLISION","register row exists; merge under COLUMNS.md §6 (notes append, org_id keeps, tier existing wins)","","",""
